Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
AGPAT9	137.0002	65.00004	52.000015044	155.00009	48.999965896	103
AGPHD1	0	2	2	1	0	1
AGPS	143	130	117	169	171	113.914
AGR2	0	0	1	1	1	0
AGR3	0	0	0	1	1	0
AGRN	11	13	20	35	18	16
AGRP	9	4	23	5	8	12
AGSK1	0	2.997917	0	1.8212491132	1.45115	2.618612
AGT	2	5	2	4	0	1
AGTPBP1	254	212	387	363	540	202
AGTR1	1	0	0	1	1	6
AGTR2	0	0	1	0	0	2
AGTRAP	1847.99747	1965.9952	1443.9954738832	2394.0017	1889.99563	801.9997
AGXT	1	1	2	5	3	5
AGXT2	1	0	2	1	3	3
AGXT2L1	0	0	1.000000135401	0	1.00000010894	0
AGXT2L2	263	249	371	465	487	183
AHCTF1	153.747	150.58	125	220.439	180.559	92
AHCTF1P1	1.25255	1.41959	3.99987	2.56081	1.44066	0
AHCY	951	1373.99869	807.9999	1966.00335	712	738
AHCYL1	176	170	199.000148	304.9999	269	139
AHCYL2	58.4392654	51.837	74.2012	62.4395	73.3312587284	42.85506
AHDC1	97	106	94	139	83	38
AHI1	236.126000115518	262.7724	268.3719	567.424	174.9653	185.8856
AHNAK	1922.0044	1433.997	2525.001	1823.002	3471.003	1051.0002
AHNAK2	8	12	26	25	20	13
AHR	244.291	293.107	223.709	294.512	200.195	139.396
AHRR	319.701	391.497	251.095	531.174	184.860793	258.339000305498
AHSA1	752	821	733	1167	830	458
AHSA2	111.301	86.1058	109.119	84.138	125.141	34.0164
AHSG	1	0	6	0	6	2
AHSP	0	0	0	1	2	0
AICDA	33.4721	32.272	45.1676	41.5782	56.5614	39.4689
AIDA	121	124	146	212	175	101
AIF1	15.00003	6	21	37.00003	18	9
AIF1L	1	2.00000223	4	1	4	2
AIFM1	522.2859	588.0803	383.95655	852.9336	478.13629	357.182
AIFM2	375.6254	298.9217	357.8084	711.971	330.3845	203.0008
AIFM3	4	2.99999803	7	6	7.0000000245851	7
AIG1	34	34	40	45	38	27
AIM1	307.282	242.396	309.214	439.216	340.182	174.724
AIM1L	42	19	9	59	40	57
AIM2	0	1	5	2	3	1
AIMP1	228.655	237.1461	257.317	391.9623	265.0646	157.5419
AIMP2	341.647	384.622	288.178	599.881	326.517	235.173
AIP	1474	1663	1373	2047	1771	899
AIPL1	16.928603	15.8423	28.992045	23.65211	45.71204	18.232747
AIRE	15.3871	11.4571	18.8313	12.344	15.9811	8.30856
AIRN	2	1.999997	11	6	16	6
AJAP1	1	0	2	5	3	3
AJUBA	11.37717	9.25053	6.3133	18.88791	22.23899	11.76292
AK1	135.907	148.798	140.791	167.263	169.068	95.5399
AK2	1626.84695	1850.003485	1833.86483	2278.122151	1875.75841	1127.377999
AK3	372.4315	347.1725	403.55879	463.23303	591.30053	242.0084
AK4	20.00002	60.3811	34	58	42.9999	26
AK5	6	2	3	5	13.00003	5
AK7	4	1	4	4	2	5
AK8	1	2	5	4	4	1
AKAP1	153.999984817	178.9998	97.00000831931	245.0001	93.00000182	87.0000695476
AKAP10	157	186	207	274	346	145
AKAP11	180.112	156.355	177.308	201	172.227	140.249
AKAP12	39.6783	18.9045	48.0965	59.0934	41.4936	36.3442
AKAP13	1896	1357	2918.995	2249	3912.002	1408.0001
AKAP14	0	0	0	0	0	0
AKAP17A	124	103	87	147	113	51
AKAP2	168	175.000073	327.0004	290.999606863	264.25191	131.9996702
AKAP3	3	3	8	8	3	2
AKAP4	1.0000000881658	0	0	0	2.99999627041	0
AKAP5	108.963	90.8137	176.186	116.038	351.474	135.993
AKAP6	0	2	3	7	0	2
AKAP7	59	49	59	54	120.0000111838	37
AKAP8	424	422	467	550	529	342
AKAP8L	88	51	71	76	64	28
AKAP9	630.00037	568.0005	690	849	968	430.0001
AKD1	35.6402	22.12888	76.778	53.44564	101.5252	64.8445
AKIP1	280.638067983	310.69717	202.9268	435.2644	223.2351320886	148.52069
AKIRIN1	243.009	355.619	268.188	330.182	372.6052	234.465
