Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
LOC284395	10.6633	4.26206	19.5051	17.1814	20.4119	10.9037
LOC284412	85.0151	105.307	180.718	192.496	100.169	57.1034
LOC284454	574.148	554.963	639.09	803.518	825.204	503.977
LOC284551	132.305	131.135	237.476	235.322	276.333	135.233
LOC284578	46.0255	41.9454	70.8508	65.982	97.3247	50.4076
LOC284581	49.817	50.5773	95.2026	72.179	116.134	52.8434
LOC284632	22.6384	12.1107	21.7439	28.8116	34.3255	22.8215
LOC284648	0	6	3	3	1	5
LOC284661	1	0	5	8	0	4
LOC284688	0	0	0	0	1	3
LOC284751	0	0	3	2	6	3
LOC284757	28.2072	32.0368	48.487	35.0681	76.1353	25
LOC284788	1	0	0	1	0	0
LOC284798	0	4	3	2	1	2
LOC284801	44	58.9571	58	107.976	64	54
LOC284837	2	3	20	11	16	4
LOC284865	23.0803	21.5831	24.9013	27.0761	43.5002	20.4699
LOC284889	99.9081	185.857	71.3225	163.852	75.558	57.5638
LOC284933	3	0	2	0	0	1
LOC284950	48.6915	39.0384	73.4302	80.5674	103.288	68.6872
LOC284998	0	1	0	2	1	0
LOC285000	2	0	2	3	3	1
LOC285033	59.1526	90.4764	121.118	122.234	114.731	54.8976
LOC285074	59.1232	58.1172	70.9879	68.2029	99.0174	61.0877
LOC285084	3	2	1	3	2	0
LOC285419	0	4	2	3	2	3
LOC285441	1	0	0	4	0	3
LOC285484	1	0	2	1	2	0
LOC285501	4.50551	3.13425	11.6246	10.2524	4.69171	5.27839
LOC285540	35.2439	18.6594	44.0857	38.7454	61.8975	25.8228
LOC285547	4	1	0	0	1	0
LOC285548	0	0	0	1	0	1
LOC285577	0	0	1	2	3	2
LOC285593	1	1	1	1	4	2
LOC285626	2	7	6.08685	13	7	5
LOC285627	0	0	1	3	3	2
LOC285629	3	1	3	4	3	4
LOC285692	1	5	6	20	16	8
LOC285696	58.7514	60.8578	92.7846	100.671	103.325	57.2285
LOC285740	47.99996	44.00002	57.00003	66.99995	80.99998	45.00003
LOC285758	41.0054	31.1456	64.1156	67.7793	58.9474	35.9667
LOC285762	53	18	110	137	154	120
LOC285768	0	0	4	1	0	1
LOC285819	14.9095	11.8606	7.8211	26.7724	11.6359	6.56377
LOC285847	1.04743	9.1644	9.25664	10.2207	11.2622	10.1327
LOC285878	1	0	1	1	1	0
LOC285889	23.3375	9.14061	25.6817	16.1243	40.4207	20.2605
LOC285972	356.064	260.26	129.959	230.064	223.339	183.029
LOC286059	1	2	1	4	0	4
LOC286083	0	0	4	3	3	3
LOC286094	1	0	0	2	1	0
LOC286114	0	0	1	2	0	0
LOC286135	4	8	6	8	7	10
LOC286177	6.26763	8.01929	18.869	13.4387	15.5091	8.18022
LOC286184	30.4839	11.8237	36.9852	40.4838	37.7564	22.0872
LOC286186	46.25	33.358	46.6297	51.6677	56.8187	30.3494
LOC286189	41.1489	36.1946	89.4556	74.0948	76.7241	49.9499
LOC286190	54.1777	50.5923	79.3697	62.0531	96.0457	75.2098
LOC286238	0	0	0	0	0	0
LOC286297	9.97129181364	2.19673	12.85268	17.53809	7.78188	18.02233
LOC286359	34.7243	36.1667	45.8292	60.9701	68.0671	39.3288
LOC286367	5	1	2	2	7	6
LOC286370	3	4	12	8	12	9
LOC286437	300.592	279.883	532.447	603.393	661.867	430.194
LOC286442	1	1	3	1	2	2
LOC286467	39.2592	44.5824	43.6382	61.094	33.7082	52.3289
LOC338651	2	7	13	10	11	5
LOC338758	18	21	20	27	31	15
LOC338799	85	74	66	96	95	57
LOC338817	36.5186	32.434	53.3493	43.7184	56.862	42.5019
LOC338963	2	0	1	4	4	2
LOC339166	14.6227	7.84259	11.3148	19.5221	22.1756	10.6487
LOC339240	3	4	7	13	8	10
LOC339298	8.37705	7.60657	20.6122	12.0178	17.8746	4.08532
LOC339442	0	1	1	4	0	0
LOC339505	12.9029	17.9755	29.2148	21.762	19.5894	13.4189
LOC339524	2	1	3	1	0	2.000002
LOC339529	0	0	2	1	0	2
LOC339535	2	2	5	5	4	1
LOC339568	0	0	3	0	1	0
LOC339593	1	0	3	5.02312	7.09403	2
LOC339622	5.07515	5.00594	4.0057	8.20249	12.0163	8.00877
LOC339666	1	0	8	2	7	0
LOC339788	4	3	6	9	16	10
LOC339803	225.879	183.356	322.675	312.207	402.932	204.641
LOC339807	0	0	5	2	2	0
LOC339822	1	0	5	1	1	0
LOC339862	0	1	1	4	1	1
LOC339874	5	7	5	5	8	4
LOC339894	15	8.06909	22.2831	17	26.3469	12
LOC339975	16.4939	21.8351	30.9894	34.5948	32.9836	24.0893
LOC340017	20	27	27	38	41	23
LOC340073	0	0	0	3	0	0
LOC340074	2	0	1	2	1	0
LOC340094	0	0	2	2	1	0
LOC340107	1	1	1	1	2	4
LOC340113	1	1	1	2	1	1
LOC340357	1	0	4	0	0	0
LOC340508	0	1	7	5	4	6
LOC340515	43.9458	28.7056	56.1244	55.7493	69.092	42.403
LOC341056	2.01455	0	4.0321	2.01405	1.00804	0
LOC344595	7	15.00003	14	27.99996	9	1
LOC344887	2	0	2	12	8	12
LOC344967	16.2423	13.5935	33.5681	29.6489	51.3081	18.4312
LOC348761	0	3	3	3	6	5
LOC349160	10	5	11	10.1362	6	2
LOC349196	40	22.00004	76	84	55.000000346364	48
LOC374443	328.00045	394.99959	340.99957	498.9997	667.00041	286.99951
LOC375196	1	0	0	4.57104	3.8924	0
LOC375295	14	9	9	25	20	15
LOC387723	56.9651	43.4138	76.7429	98.6731	123.672	56.3957
LOC387895	1	0	3	0	20	6
LOC388152	12.3639	22.7889	41.5982	47.3263	36.1107	15.7357
LOC388242	5.4575	6.5717	6.5627	13.9927	12.4923	4.22148
LOC388499	3.17736	1.06989	1.05666	4.22407	9.55241	2.11846
LOC388553	0	1	0	3	2	0
LOC388692	897.715	811.254	1297.4	1240.78	1564.2	702.461
LOC388796	230.9895	279.5771	151.5011	283.932	196.5036	104.6803
LOC388813	1	0	0	0	0	0
LOC388849	4	1	2	1	0	0
LOC388906	3	2	2	1	5	2
LOC388942	0	0	0	3	1	0
LOC388948	1	0	2	4	8	0
LOC389023	0	0	1	1	2	0
LOC389033	0	0	0	1	0	0
LOC389043	1	0	4	1	1	4
LOC389247	15.0395	8.78284	14.8726	10.7027	8.41396	8.92671
LOC389332	0	0	1	2	0	0
LOC389458	2	0	2	0	0	0
LOC389634	2	5	5	8.52898	11	4.24183
LOC389641	65.819	57.4041	61.9874	60.3511	46.8376	27.28
LOC389705	0	1	0	3	1	3
LOC389765	13.0199	5.95424	17.6944	11.4959	20	11.5107
LOC389791	73.6665	57.258	108.266	134.696	130.525	76.7254
LOC389895	3	0	1	3	0	0
LOC389906	31	51	39	34.3335	37	14
LOC390660	25.00003	9	11	27.48138	12.4584	10
LOC390705	4	1	6	6	4	2
LOC391322	22.0316	10.8984	33.4556	22.9868	3.39358	7.64961
LOC392196	0	0	2.50667	1	2.51164	7
LOC392232	2	0	2	0	0	1
LOC392364	5	10	26	8	10	9
LOC399715	42.776	33.191	44.7467	64.6832	60.8457	36.6227
LOC399744	40.4855	40.0865	45.239	70.8106	59.9599	37.5362
LOC399753	0	2.06335	0	7.23241	4.54098	0
LOC399815	9.0005	7	17.1345	20.0016	16.1364	2.02983
LOC399829	0	3	8	9	2	4
LOC400027	251	170	307	232	423	182
LOC400043	0	0	0	5	1	1
LOC400084	20.4121	10.8708	31.4235	37.0734	46.4316	24.6637
LOC400456	0	0	0	1	0	0
LOC400548	41.2251	30.3875	59.0332	57.6369	65.4798	41.4317
LOC400558	2	1	1	4	2	3
LOC400620	1	1	4	1	0	3
LOC400654	1	2	1	0	1	1
LOC400655	24.7037	23.9168	50.8064	35.911	57.611	40.5278
LOC400657	155.368	119.25	260.678	228.267	341.931	191.718
LOC400680	10	11	6	14	15	12
LOC400684	13.0198	15.0042	14.1836	17.9067	12.8107	12.3564
LOC400685	5	1	13	5	13	8
LOC400752	9	5	8	14	15	8
LOC400794	2	1	5	7	7.00227	5
LOC400891	96.8419	70.3513	158.764	132.546	158.469	76.8524
LOC400927	16.989	3	10	13.9955	23.1522	12.8762
LOC400940	0	0	2	3	1	0
LOC400958	33.3253	39.5371	56.0094	63.1459	75.1698	37.0751
LOC401010	5.04319	1.01028	8.09414	8.06182	7.09703	12.1039
LOC401052	29.1071	16.9039	48.9523	33.1205	30.8505	15.931
LOC401074	7	7	21.9999894	29.00001	27	19.00002
LOC401109	0	0	5	5	2	1
LOC401127	1.00749	1	8.05839	3.00639	3	3
LOC401134	5	1	4	8	10	6.64477
LOC401164	0	0	0	0	0	0
LOC401177	0	1	1	2	0	0
LOC401242	28.3023	24.2064	48.4577	47.2634	56.4165	36.4729
LOC401320	71	59	124	90	140	80
LOC401321	34.3976	21.8304	42.776	33.0275	45.5992	33.6699
LOC401324	68	72	119	148	146	88
LOC401397	106	74	71	133.9997	114	65.00001
LOC401463	0	0	0	0	2	0
LOC401497	0	1	0	2	1.00009	4
LOC401557	21	19	38	41	36	19
LOC401980	2	0	1	0	4	0
LOC402160	4	0	1	5	4	1
LOC402779	0	0	1	0	0	0
LOC407835	1.03344	2.09794	3.1548	4.1869	2.11996	1.0322
LOC415056	1	0	2	0	3	1
LOC439994	44.5552	44.7331	42.612	63.2028	68.565	39.9316
LOC440028	21.814	14.3744	24.283	30.4447	25.2228	29.3995
LOC440040	0	0	0	1	1	3
LOC440117	0	0	2	0	0	1
LOC440173	286.507	244.451	491.886	574.138	523.131	275.315
LOC440243	63.0053	18.5965	88.2131	55.8077	57.5349	31.5679
LOC440288	232.4314	210.2693	302.243	391.1315	320.3524	205.986
LOC440297	31.99454	18.4186	37.43	72.8348	30.25604	37.524
LOC440300	89.0117	59.2008	143.597	187.762	145.361	92.9131
LOC440311	2	0	2.00918	1.00351	2.04214	2
LOC440335	11.5277	8.41884	18.4653	26.1026	24.22171	9.80215
LOC440354	121.239	83.93163	147.752	152.1796	140.791	78.4522
LOC440356	2	0	0	2	2	0
LOC440434	58.2705	59.4147	66.5684	64.3251	80.2559	58.071
LOC440461	3	1	6	9	3	0
LOC440518	2	2	7	3	4	2
LOC440563	3	1.4386	3	2.96294	1	0
LOC440600	26.4692	19.0581	38.9687	45.723	39.6502	18.7602
LOC440700	5.04563	2.01656	4.12242	6.02992	12.0934	3.05665
LOC440704	2.54387	6.56355	8.99355	11.3733	4.33674	10.882
LOC440894	6.47116	3.58826	15.02436	15.15833	6.687095	17.35702
LOC440895	0.0381976	0	0	0	0	0
LOC440896	29.7784	28.2342	62.5143	64.1929	66.1135	28.9429
LOC440900	3	0	0	5.42803	6.6604	2
LOC440905	7.33431	1.1225	8.70704	9.65592	6.87185	2.47632
LOC440910	7.33524	1.14739	10.1885	11.8195	14.3034	5.56262
LOC440925	2	0	1	3	1	1
LOC440970	12.3036	12.1827	27.4576	27.0738	20.5415	17.3113
LOC441009	15.2351	2.03011	12	6.07576	13.2544	8
LOC441025	0	1	2	1	0	0
LOC441081	849.166	747.639	1246	1010.6	987.08	496.668
LOC441155	12.055	14.8251	27.2277	17.417	37.8647	25.2532
LOC441204	0	0	0	1	2	1
LOC441242	31	29	51.8282	74	56.6571	27.8024
LOC441454	16.0061	16.0061	20.0083	16.008	14.0056	13.0052
LOC441455	1	0	0	0	6	0
LOC441461	7	3	7	8	7	6
LOC441601	0	0	0	2.00319	0	3.00824
LOC441666	38.2733	25.7687	71.9148	86.1636	103.892	60.2393
LOC442028	7	3	20.4193	17.283	28	14.0275
LOC442132	8.07216	5.06431	14.4149	20.3222	19.7044	12.5433
LOC442459	0	4.06633	1.01248	2.02663	0	1.02114
LOC442497	2	1	0	2	12	0
LOC493754	176.488	137.864	192.921	243.641	260.319	143.615
LOC494127	0	1.00335	1.00303	2	0	0
LOC494141	114.8567	100.166	124.299	157.86921	145.287	102.1683
LOC494558	2.9463	2.24587	8.77063	8.25866	12.8056	3.42717
LOC503519	0	0	1	1	3	0
LOC541471	201.9314	243.552	229.213	331.189	350.5789	138.7022
LOC541473	20.5909	14.8564	26.5609	20.5487	28.5565	11.8629
LOC550112	68	54	105.776	147.528	148.378	79
LOC550113	0	0	0	0	0	0
LOC550643	193	168	209	348	270	151
LOC553103	69.3685	52.4165	100.311	101.492	127.448	61.0528
LOC554206	12	14	34	21	36	10
LOC554223	1	2.4754	0	0	5.27074	0
LOC574538	0	1	2.14599	3	3	2
LOC595101	256.008	296.603	361.077	415.118	475.487	230.446
LOC606724	179.3612	190.9502	176.1942	295.758	207.126	62.954
LOC613037	600.966	727.724	738.967	842.804	1315.21	755.606
LOC613038	5.4575	6.5717	6.5627	13.9927	12.4923	4.22148
LOC619207	5	2	7	9	7	2
LOC63930	1	3	3	7	1	2
LOC641367	17	16	31	21	33	12
LOC641515	1	2	0	3	1	1
LOC641746	0	0	1.01737	1	0	2.03954
LOC642236	131.008	95.8763	229.854	223.716	285.269	125.556
LOC642361	69.9343	65.4631	94.7204	131.726	120.382	57.798
LOC642366	1	1	0	0	1	3
LOC642423	0	0	0	0	0	0
LOC642426	1	2	3	8	4	3
LOC642846	231.235	174.616	231.739	194.346	178.062	112.647
LOC642852	9	6	6	5	12	5
LOC642929	1	1	7.58068	11.717	8	7
LOC643037	0	0	1	0	0	0
LOC643201	18.531	18.4937	33.2616	22.3033	35.8834	19.5098
LOC643339	40	40	24	25	37	26
LOC643355	4.60311	8.45424	5.59449	3.4721	2.49909	9.24908
LOC643387	5.31856	3.11658	7.25842	8.33717	13.4803	6.25363
LOC643401	11.0513	6.85808	21.7473	26.9785	22.263	17.8324
LOC643406	260.319	211.438	562.132	613.441	622.379	495.938
LOC643441	1	0	0	0	4	2
LOC643486	0	0	0	0	0	1
LOC643529	4	4	2	10	5	10
LOC643542	2	0	1	11	2	2
LOC643623	11.0606	4.38723	7.94623	12.4443	11.7508	14.9598
LOC643648	3	2.000001	0.999999	6	3.99999	2.000001
LOC643669	6	7	6	9	7	8
LOC643714	0	0	1	2	0	0
LOC643723	2	0	0	3	3	0
LOC643733	26	5.9999991	39	15	37	10
LOC643770	12.6305	9.83485	24.8169	22.2352	13.1339	9.51835
LOC643802	3	5	5	0	10	6
LOC643837	82.0232	59.99997	105.9999689	118.45122	182.26050153	73.49658
LOC643923	0	0	0	2	1	0
LOC644145	0	0	0	1	0	1
LOC644172	1	2	0	3	47.29	20.8299
LOC644189	5	6	10	8	10	4
LOC644248	0	1	0	0	1	0
LOC644554	15	15	22	22	36	18
LOC644649	0	0	0	1.01942	1	0
LOC644656	7	11	24	20	36	18
LOC644669	26.2729	30.2854	21.8013	38.4061	42.376	25.8394
LOC644838	1	0	1	0	1	0
LOC644936	69.1153	87.0786	67.1052	76.1124	69.0999	38.0567
LOC644961	116.284	76.7308	139.598	141.806	209.507	107.472
LOC645166	26.88403	26.68779	47.88981	48.41681	35.74101	17.99754
LOC645212	94.00002	61.2973	117.5018	91.1936	102.0545	65.5814
LOC645249	1	1	1	1	1	1
LOC645355	1	0	0	0	0	0
LOC645434	0	0	1	2	2	0
LOC645513	117.233	114.968	130.329	122.743	176.191	99.0549
LOC645638	2	1	1	1	1	1
LOC645752	0	0	3.64774	7.56964	4.25801	4.90086
LOC645949	1	2	0	0	0	0
LOC646168	0	0	2	1	0	0
LOC646214	232.327	207.898	445.797	474.196	576.144	360.341
LOC646268	0	0	0	2	0	2
LOC646278	36.9281	51.5502	37.2512	47.0933	78.1037	38.6946
LOC646329	10	12	21	41	13	10
LOC646471	56.4982	54.1188	72.2527	66.5877	129.992	48.8972
LOC646498	0	1	1	1	0	2
LOC646626	0	1.29633	1.28606	0	2.5709	4.72705
LOC646719	91.7827	103.391	148.79	132.994	149.816	61.3696
LOC646736	1.30068	1.24441	0	2.44611	3.39073	3.77207
LOC646743	0	0.000479181	0.0001003854	10	6	0
LOC646762	87.1364	53.6165	118.427	87.075	111.032	48.6774
LOC646813	1	1.01559	0	7.1814	4.04499	2.10123
LOC646862	0	0	0	1	2	0
LOC646903	0	0	4	1	0	0
LOC646938	4	3	4	2.02921	5	1
LOC646999	25.4385	26.6646	19.3826	43.1281	35.7798	25.1254
LOC647323	0	0	0	0	0	0
LOC647859	1	0	0	0	0	0
LOC648691	70.7678	60.4896	111.641	114.741	144.802	87.9853
LOC648987	94.9024	68.8036	173.3444	172.6713	238.1087	85.77953
LOC649133	0	0	1	0	1	0
LOC649330	0	1.56493	0	0	5.0019	1.00235
LOC649352	0	0	0	0	0	0
LOC649395	8.60871	6.45962	12.698	11.6686	15.8474	3.46424
LOC650226	2	0	1	3	3	2
LOC650293	1	1	11	4.04557	4	5
LOC650368	6.14419	5.02494	12.2577	11.2013	10.1435	7.12506
LOC652276	100.553	118.696	102.697	145.669	141.217	77.5657
LOC653160	5.02846	9.06749	5.14833	4.63858	11.0265	2.00415
LOC653486	0	1	2	1	0	0
LOC653501	3.3322	3.49899	3.26174	15.161	9.40726	0
LOC653513	12.2444	1.49416	7.39537	5.63502	13.0152	5.12007
LOC653653	1.29465	1.32272	2.81751	2.60754	2.6439	3.80501
LOC653712	6.94857	2.0781	14.3482	4.11178	13.7892	8.93342
LOC653786	13.7548	11.9874	22.732	20.8419	21.6072	11.4477
LOC654342	7.21174	5.17225	20.5356	31.1282	21.5273	7.60026
LOC654433	242.376	281.309	263.79	449.804	755.942	394.135
LOC727677	0	0	1	2	0	1
LOC727849	45.2044	21.6642	11.0117	43.52910969733	40.860902451664	36.789
LOC727896	39.236	31.7787	56.7601	58.9552	88.1512	40.9744
LOC727915	0	0	0	0	0	0
LOC727924	2	0	2	1	1.4315	8.21639
LOC727982	2	2.0188	2.10117	4	1	1
LOC728012	0	0	0	0	0	0
LOC728024	2.02626	3.04274	3.20044	6.15343	7.18165	4.2034
LOC728040	1	0	1	2	1	0
LOC728084	9	10	2	8	0	4
LOC728175	1	0	4	3	4	0
LOC728190	138.823	142.708	140.661	210.155	171.68	102.325
LOC728218	27.9893	30.3251	25.3012	44.1922	35.0543	26.481
LOC728228	0	0	1	2	1	3
LOC728323	11.3817	5.94544	16.6755	21.6683	11.7954	9.66898
LOC728342	16.0353	13.1635	30.3461	16.6437	29.3388	21.2059
LOC728377	0.682497	0	6.9334	28.8343	30.3316	15.0458
LOC728392	19	8	24	10	24	15
LOC728407	6.90261	13.2369	17.7114	14.9732	30.3879	12.2498
LOC728431	84.8464	59.8406	127.175	127.072	150.667	78.4003
LOC728463	0	0	0	1	0	0
LOC728537	3	10	14.4503	4	15.8972	5.14405
LOC728554	562.351	796.183	276.254	434.883	384.536	254.708
LOC728558	62.0972	49.2692	78.0934	89.801	77.5281	52.9017
LOC728606	42.9292	27.778	58.0823	58.4301	61.8871	37.0713
LOC728613	65.2935	69.0915	84.0183	94.6292	113.096	59.5872
LOC728716	0	0	1	0	1	0
LOC728724	0	0	0	0	1	1
LOC728730	35.6358	25.1029	39.1126	39.6581	40.0876	27.534
LOC728739	0	0	2	0	1	0
LOC728743	66	46	79	97	123	44
LOC728752	46.3643	24.4018	65.3433	87.3402	71.5644	42.0103
LOC728819	1	0	1	0	0	0
LOC728875	73.5073	89.19974	99.5719570707	127.833602	120.340000654058	23.1773
LOC728989	2.30216	2	6.42464	2.14786	1.09856	1.1288
LOC729013	16	7	14	18	17	10
LOC729020	0	0	1.12754	1.07206	1.12282	1.08448
LOC729041	13.3327	12.2353	38.1921	14.424	19.9442	11.4897
LOC729059	1	1	0	1	1	3
LOC729080	0	0	0	0	2.03662	0
LOC729121	1	1	3	0	1	0
LOC729176	0	0	0	1.0671	0	0
LOC729177	4	3	4	2	11	2
LOC729444	10.293	6.67336	36.3874	36.6818	20.4034	15.2114
LOC729506	1	2	3	4	2	1
LOC729603	53.1856	56.1529	109.749	100.399	116.274	76.7652
LOC729609	68.4026	54.5124	83.9333	100.483	117.479	48.9375
LOC729683	68.8204	76.8572	130.503	110.057	159.262	60.91
LOC729732	88.8406	56.3595	144.187	171.534	172.848	96.6844
LOC729737	48.7369	68.3903	76.6635	79.49	128.109	61.7874
LOC729739	8.00252	5.00053	6	6.00119	7.00145	4.00284
LOC729852	62.2209	54	88.5511	89.3809	95.4381	66.3965
LOC729911	0	0	1	3	2	0
LOC729950	1	0	2	2	0	0
LOC729966	2	0	3	1	0	0
LOC729970	3	4	0	2	4	2
LOC729987	135.084	107.817	341.354	350.284	339.485	297.525
LOC730091	12.4335	5.04378	13.6864	6.6464	39.7755	13.4965
LOC730101	40.99998	14.9999738	69	39.000000766131	36.00003	29.99997
LOC730102	11.3694	11.0889	15	21.1251	18.2779	14.1721
LOC730159	1	0	0	3	1	2
LOC730183	11	14	20	10	11	6
LOC730227	34.1154	23.84665	43.9404	30.5373	37.7667	24.3962
LOC730441	2	1	0	3	0	1
LOC730668	19.9729	21.6706	25.5072	47.9779	44.0346	27.7156
LOC730811	0	0	1	1	1	1
LOC731223	0	0	0	1	1	0
LOC731275	75.971	88.4595	113.982	111.189	182.74	98.7621
LOC731424	38.0186	35.9585	41.8122	53.906	53.6868	30.4424
LOC731779	0	0	3	0	0	0
LOC732275	2	1	3	3	1	2
LOC79015	24	13	40	11	23	4
LOC81691	91.999919	120	172.9999	221.0002	199	93
LOC84931	0	0	0	2	4	0
LOC90246	0	0	3	5	0	0
LOC90499	0	1	5.21641	6	4	2
LOC90784	112.202	121.169	166.108	163.15	212.167	122.034
LOC90834	72.0538	73.2163	115.018	115.613	142.161	51.1139
LOC91450	15	7	12	12	11	7
LOC91948	129.984	82.1445	174.222	197.186	163.301	119.841
LOC92249	60	41	70	53	103	25
LOC93432	0	0	0	2	1	0
LOC93622	46	36	32	47	32	14
LOC96610	108.607	92.2879	113.517	147.378	104.312	82
LOH12CR1	155	125	114	183	107	100
LOH12CR2	12.7845	25.1364	26.18	37.2135	22.4825	16.0782
LONP1	537.0004	646.999732	377.0004974	1344.9992	543.999663	360.000157
LONP2	576.622	635.79	644.352	764.367	683.829	421.581
LONRF1	19	23	21	20	24	19
LONRF2	31.7057	32.7027	62.5522	74.7484	49.3913	51.4513
LONRF3	6	2	23.99996	3	58	18.99998
LOR	2	0	2	1	0	0
LOX	1	0	4	0	4	2
LOXHD1	7	2	3	5	15	9
LOXL1	5	5	1	7	6	2
LOXL1-AS1	10.2032	12.39257	34.5383282	25.7849	36.8345	13.24068
LOXL2	8	9	14	11	20	13
LOXL3	15.6275	13.7343	2.3421	20.5174	13.8991	2.24724
LOXL4	5	7	12	7	14	4
LPA	8.21388	4.45997	4.02491	17	13.5443	6
LPAL2	75.45507	62.0008	92.44242	95.14988	171.9658	53.58951
LPAR1	1	2	12	5	1	0
LPAR2	96	77	148	81	117	47
LPAR3	1	0	1	1	2	2
LPAR4	34.242	33.3798	27.7925	33.7291	42.2338	49.1736
LPAR5	103	51	136	23	283	95.99999
LPAR6	484.8165	550.2822	402.3408	431.3773	467.114	279.66294
LPCAT1	667	725	726	792	821	369
LPCAT2	12.595	15.8618	17.3243	35.5283	19.5727	34.3908
LPCAT3	344.915	322.499	432.472	373.447	423.118	248.335
LPCAT4	173	195	116	264	111	75
LPGAT1	204.038	131.589	264.824	218.816	305.584	109.72
LPHN1	62.00004	61.00004	78.00001	72.99995	116.6851	49.721500016306
LPHN2	0	20	4	51	5	8
LPHN3	1	4	5	4	7	8
LPIN1	540.3118	513.4017	799.851	764.5807	1139.638	538.245
LPIN2	423	260	582	419	1026	318
LPIN3	92.0501	111.496	98.0719	126.034	170.749	90.7502
LPL	0	0	3	2	0	1
LPO	2	1	4	4	1	4
LPP	532.8991	436.9084	735.046	745.4991	965.924	449.0857
LPP-AS2	30.8386	30.4119	38.1087	25.6433	47.7008	15.6656
LPPR1	0	0	1	1	0	0
LPPR2	7	9	27	17	25	11
LPPR3	1	3	8	4	7	1
LPPR4	2	0	1	4	1	1
LPPR5	0	2.0000039	0	1.0000004	5.999997	2
LPXN	2881	2898.9964	3610.0033	4860.0024	4088.0012	2254.0002
LRAT	32.3042	28.4859	45.0715	45.9405	54.7848	23.337
LRBA	245.9999	176.9996	346	297	495	185.0001
LRCH1	150.99995	148.0003	139.9999	195.0001	236.0004	109.99997
LRCH2	6.0000012646	0	2.00000103203	0.9999997961	3.9999975118	1.99999928708
LRCH3	158	167	160	238	302	163
LRCH4	179	239	180	335	203	132
LRCOL1	2	2	0	4.05541	1	2
LRFN1	31	14	18	23	11	6
LRFN2	2	0	3	4	15	0
LRFN3	5	10	5	16	2	4
LRFN4	5	11	9	18	3	14
LRFN5	1	0	3	7	5	0
LRG1	25.1653	17.6239	39.712	55.9618	49.8025	26.7581
LRGUK	4	2	4	1	4	3
LRIF1	225	214.0002	265.0002	395	301.9999	183.0004
LRIG1	77	55	107	97	109	77
LRIG2	65	51	99	97	146	46
LRIG3	1	0	3	4	0	5
LRIT1	1	1	3	1	1	3
LRIT2	1	3	1	0	0	1
LRIT3	0	2	1	4	1	0
LRMP	244.0005	174.99965	464	345.0004	569.0003	240.0004
LRP1	12	9	29	32	33	20
LRP10	735	639	863	1059	974	347
LRP11	15	19	7	16	8	15
LRP12	27	38	42.0000199435	36	64.99999	24
LRP1B	3	2	7	15	12	8
LRP2	16.0638	13.0155	26.073	21.0253	18.0296	20.0155
LRP2BP	22.2265	26.494	12.8246	23.9752	27.8375	22.446
LRP3	8	4	4	8	0	2
LRP4	5.02846	3	14.0942	16	10	6.08411
LRP4-AS1	29.8879	15.4427	23.6464	26.9067	31.4663	24.1104
LRP5	22	32	13	60	15	40
LRP5L	66	57	80	83	81	52
LRP6	0	2	13	7	5	4
LRP8	306.2107	306.3878	323.1486	414.0004	349.82	208
LRPAP1	1655.2	1490.74	2161.65	2647.38	2253.72	1163.88
LRPPRC	530.793	649.465	627.023	791.545	882.797	590.462
LRR1	254.00031	265.9992	264.0003	367.9997	303.9999	198.0002
LRRC1	19	9	20	24	36	15
LRRC10	9.07119	12.0995	19.3016	25.5481	21.2807	20.1568
LRRC10B	1	2	2	5	3	2
LRRC14	329.9996	375.000129	297.0003	486.999587	409	208.0002
LRRC14B	0	0	4	1	1	2
LRRC15	1.00000025089	4.000003326	3.99999637127	8	2.999997251	2.9999963245
LRRC16A	34.731468	51.69190153737	14.102595	26.4276	13.192018	16.075054
LRRC16B	9	4	17	15	15	11
LRRC17	0	1	0	0	0	0
LRRC18	1	1	1	2	3.01672	1
LRRC19	19.493	26.2017	32.573	30.6846	35.0528	26.1325
LRRC2	92.9175	61.9991	117.131	111.891	192.752	86.0005
LRRC2-AS1	0	0	0	0	1	0
LRRC20	82	77.00001	71	62.00003	55	16
LRRC23	17.99999	17.00004	18	27	26.00004	10
LRRC24	0	0	0	0	0	0
LRRC25	35.0264	27.5924	55.4974	68.346	74.1392	36.4727
LRRC26	4	2	1	7	1	1
LRRC27	184.04547	140.8334782388	221.3573	305.139	270.4892	157.155
LRRC28	139	132	174	241	142	94
LRRC29	6	19.00004	10	8.0000004	12	5
LRRC3	21.257	28.1417	45.0587	38.2312	72.9214	29.2969
LRRC3-AS1	1	0	0	0	1	3
LRRC30	0	1	0	0	2	3
LRRC31	1	0	2	3	2	1
LRRC32	5	0	6	4	2	6
LRRC33	29	25	60	69	102	38
LRRC34	10	10	10	29.9999625018	18.000024	5
LRRC36	1	0	5	1	9	3
LRRC37A	44.7502	43.0139	100.657	88.3323	121.903	40.6329
LRRC37A11P	10.3057	6.34511	6.34807	7.29257	10.6198	5.12776
LRRC37A2	110.128	89.8026	528.427	522.024	730.747	304.337
LRRC37A3	65.8187	52.7532	110.922	92.4593	152.16	74.037
LRRC37A4P	519.373	499.477	822.709	796.175	720.982	378.325
LRRC37A5P	0	2	1	2	0	0
