Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
ACOT4	90	81	44	83	56	91.9062	97	148	192	112	87	98	101.947	134.979	108
ACOT6	0	1	0	0	0	0	0	0	0	1	1	2	0	4	0
ACOT7	1670.785	1217.879091999	1815.8786	2652.60000479536	394.000680777	394.94561	1725.894381222	2006.8630133007	1952.78310089106	716.909	200.9997	1236.9048193396	1391.9261	1734.7990107914	302.9997
ACOT8	732.549	270.006	456.068	553.417	237.631	249.137	285.453	356.872	446.034	323.88	210.427	273.693	248.793	444.11	325.319
ACOT9	432	200.9999	209	458.9999	129.0004	164	220.9996	236	344.9999	172	152	223.0002	239.9998	282	179.0003
ACOX1	829.7496	203.2757	248.9678	422.3787	191.0987	206.0255	247.9181	288.8474	326.7526	310.7013	202.5069	227.2579	223.1	286.9138	328.8042
ACOX2	0	1	0	4	0	1	4	1	0	3	1	2	0	1	6
ACOX3	489	151	263	363.0001	195.9996	95	115	167	193.9999	242	122	103	146	143	195.0004
ACOXL	203	46	76	135	84	117	55	104	104	209	87	57	44	96	138
ACP1	1602.997	647	799.0005	1430.99916	402.0001	365.99958	905.9995	936.00001	1237.99562	652.99992	325.00026	683.0005	628.9998	1003.9999	534.00031
ACP2	668.99998	233.00005	380.99972	466.00027	217.99974	215.00042	343.88581	385	505.716	439.00024	208	357.86487	416	571	317
ACP5	1128	96	88	60	143.999969366	485.00016	276.0001	228.0004	270.9997	493	1659.9997	698.9996	643.9992	917.0006	1932.9960987
ACP6	115	18	10	52	22	21	25	32	54	31	48	57	78	99	93
ACPL2	159.9997	27.00001	51	131	29	59	38	52.000016	56	93	57	40	21	49	43
